"(Benchmark_method, commit)",Extract Variable,Change Attribute Type,Change Variable Type,Move Class,Change Package,Add Method Annotation,Change Parameter Type,Change Return Type,Extract Superclass,Extract Subclass,Extract Class,Pull Up Method,Push Down Method,Push Down Attribute,Move Method,Move Attribute,Move Source Folder,Inline Variable,Remove Method Annotation,Extract Method,Remove Parameter,Modify Method Annotation,Extract Interface,Remove Class Annotation,Add Parameter,Extract And Move Method,Pull Up Attribute,Parameterize Variable,Inline Method,Extract Attribute,Remove Attribute Annotation,Add Class Annotation,Move And Inline Method,Merge Parameter,Modify Parameter Annotation,Merge Variable,Merge Attribute,Replace Variable With Attribute,Add Attribute Annotation,Modify Attribute Annotation,Modify Class Annotation,Add Parameter Annotation,Split Parameter,Reorder Parameter,Split Attribute,Split Variable,Replace Attribute,sum,delta
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,1086a61fd92a49db64034f2c7ac279e27c20f96f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2a4a0713a424f929355b32b6cf0c34dabaaad873)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,74e47c0d76708d9a533f6412559198074b294457)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e3fa6562a76344bab1a02ad062d0ccbe732d3ece)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,a2380cc5c9ec04aa243d525da5b46a25b4f3e988)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,80dc207a6c5a40b77adfa32f9920bc127650e3f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,9f0e41ac04e7fc0a21859fdba5e273e16312872e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,17005643ed0ba4b61d76d6d2cc8b465b46376333)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,cab06fee9accf437730b4edd6bf5e1cd0891f127)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,d8c034d8af82ac71468b0fa60237e0f7946ce59b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
