"(Benchmark_method, commit)",Extract Method,Remove Method Annotation,Add Class Annotation,Change Return Type,Parameterize Variable,Change Variable Type,Modify Method Annotation,Move Class,Change Parameter Type,Merge Variable,Move Attribute,Move Method,Extract Variable,Add Method Annotation,Pull Up Method,Extract And Move Method,Push Down Method,Remove Parameter,Extract Superclass,Pull Up Attribute,Add Parameter,Inline Variable,Change Attribute Type,Extract Class,Move And Inline Method,Extract Interface,Modify Class Annotation,Remove Class Annotation,Inline Method,Change Package,Move Source Folder,Reorder Parameter,Extract Attribute,Modify Attribute Annotation,Push Down Attribute,Extract Subclass,Remove Variable Annotation,Replace Variable With Attribute,Merge Parameter,Add Attribute Annotation,sum,delta
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.collections.SetOps.sum,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.counters.CountersBenchmark.rw,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.channels.SpscChannelThroughputTest.backoffOneNano,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.latency.QueueBurstCost.burstCost,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.baseline.SingleThreadedPoll.poll,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgsBaseline,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.QueueThroughputBackoffConsume.tpt,16415766ddfaa183c01b5bc3d6e6c438b567c391)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
