"(Benchmark_method, commit)",Add Parameter,Remove Parameter,Extract Method,Extract Attribute,Extract Variable,Add Method Annotation,Extract Class,Move Method,Remove Method Annotation,Pull Up Method,Move Source Folder,Change Parameter Type,Extract And Move Method,Change Attribute Type,Change Variable Type,Change Return Type,Remove Parameter Annotation,Extract Interface,Add Class Annotation,Replace Attribute,Extract Superclass,Pull Up Attribute,Remove Class Annotation,Change Package,Move Class,Replace Variable With Attribute,Inline Method,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Move Attribute,Modify Method Annotation,Inline Variable,Parameterize Variable,Split Attribute,Move And Inline Method,Add Parameter Annotation,Merge Variable,Split Parameter,Reorder Parameter,Split Variable,sum,delta
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,3fc0cc0cdfcfb9426e04f44e18b85a67b34367c3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,3fc0cc0cdfcfb9426e04f44e18b85a67b34367c3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,3fc0cc0cdfcfb9426e04f44e18b85a67b34367c3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.adapter.AvroAdapterBenchmarks.testAvroToArrow,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.adapter.JdbcAdapterBenchmarks.testJdbcToArrow,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ByteFunctionHelpersBenchmarks.equals,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.IntBenchmarks.setWithValueHolder,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.FloatingPointBenchmarks.approxEqualsBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncoderBenchmarks.testEncode,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.apache.arrow.vector.IntBenchmarks.setIntDirectly,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.getNullCountBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,2066e5945c4952eb217bb1be1600283582cd00ee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
