"(Benchmark_method, commit)",Change Parameter Type,Change Return Type,Change Attribute Type,Change Variable Type,Extract Interface,Pull Up Method,Move Method,Extract And Move Method,Extract Method,Move Attribute,Inline Method,Extract Class,Replace Variable With Attribute,Extract Attribute,Move Source Folder,Inline Variable,Extract Variable,Merge Parameter,Parameterize Variable,Move Class,Change Package,Pull Up Attribute,Extract Superclass,Replace Attribute,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,Merge Variable,sum,delta
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactions,460b837cb236672f6cf38b7d6af17e65feb3ced5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema,460b837cb236672f6cf38b7d6af17e65feb3ced5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoningMultipleTransactions,460b837cb236672f6cf38b7d6af17e65feb3ced5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencer,460b837cb236672f6cf38b7d6af17e65feb3ced5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ForwardChainingRDFSInferencerBenchmark.initialize,460b837cb236672f6cf38b7d6af17e65feb3ced5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct,460b837cb236672f6cf38b7d6af17e65feb3ced5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencerMultipleTransactions,460b837cb236672f6cf38b7d6af17e65feb3ced5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ForwardChainingSchemaCachingRDFSInferencerBenchmark.initialize,460b837cb236672f6cf38b7d6af17e65feb3ced5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,460b837cb236672f6cf38b7d6af17e65feb3ced5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencer,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactionsSchema,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.NoReasoningBenchmark.initialize,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoning,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactions,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoningMultipleTransactions,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencer,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ForwardChainingRDFSInferencerBenchmark.initialize,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencerMultipleTransactions,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ForwardChainingSchemaCachingRDFSInferencerBenchmark.initialize,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,df3195cb98e12e3f6bb7630a5f64863f09c5154a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencer,abadff0a3eb0cf106b1e427352acf7d81665122c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
