"(Benchmark_method, commit)",Change Return Type,Extract Variable,Extract Method,Change Attribute Type,Change Parameter Type,Change Variable Type,Extract And Move Method,Extract Interface,Inline Variable,Inline Method,Move Class,Parameterize Variable,Merge Attribute,Move Attribute,Extract Class,Replace Variable With Attribute,Move Method,Extract Superclass,Extract Subclass,Push Down Method,Push Down Attribute,Merge Variable,Change Package,Split Attribute,Move Source Folder,Pull Up Attribute,Pull Up Method,Extract Attribute,Split Parameter,Merge Parameter,Split Variable,sum,delta
"(org.simpleflatmapper.utils.UUIDBenchMarkWrite.testByteBufferRead,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.MapperCacheBenchmark.testGet,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testField,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.DiscriminatorBenchmark.testWithDiscriminator,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkRead.testBytesRead,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethodHandlerField,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStorePutBenchmark.testMap,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testDirect,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethod,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileInputStream,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethodHandlerExact,3b8283c9af486788c993eccb822fdfb02f37bb91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.DiscriminatorBenchmark.testWithDiscriminatorWithKeys,3b8283c9af486788c993eccb822fdfb02f37bb91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parsePipeQuote,3b8283c9af486788c993eccb822fdfb02f37bb91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles,3b8283c9af486788c993eccb822fdfb02f37bb91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.reader,3b8283c9af486788c993eccb822fdfb02f37bb91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStoreGetBenchmark.testKeyObjectStore,3b8283c9af486788c993eccb822fdfb02f37bb91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parse,3b8283c9af486788c993eccb822fdfb02f37bb91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
