"(Benchmark_method, commit)",Move Class,Extract Attribute,Extract Variable,Extract Method,Inline Method,Extract And Move Method,Change Variable Type,Change Return Type,Merge Attribute,Change Attribute Type,Inline Variable,Extract Class,Move Method,Move Attribute,Move Source Folder,Change Parameter Type,Change Package,Extract Superclass,Pull Up Method,Merge Variable,Push Down Method,Parameterize Variable,Split Attribute,Pull Up Attribute,Replace Variable With Attribute,Extract Interface,sum,delta
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,339fbe0ad2e6a9073bdc5386ca23ded5bc2f302b)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,f19d51b97fd65fe2431ab30353ccbe8d2e95e535)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,f19d51b97fd65fe2431ab30353ccbe8d2e95e535)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,f19d51b97fd65fe2431ab30353ccbe8d2e95e535)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,f19d51b97fd65fe2431ab30353ccbe8d2e95e535)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,ec17139eb9f80ec191bc2dcdabc88df6f6ac45fd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,ec17139eb9f80ec191bc2dcdabc88df6f6ac45fd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,ec17139eb9f80ec191bc2dcdabc88df6f6ac45fd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,ec17139eb9f80ec191bc2dcdabc88df6f6ac45fd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,26ea1d6b6d7af9c0adb18a6cb43679d7dd857c0a)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,26ea1d6b6d7af9c0adb18a6cb43679d7dd857c0a)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,26ea1d6b6d7af9c0adb18a6cb43679d7dd857c0a)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,26ea1d6b6d7af9c0adb18a6cb43679d7dd857c0a)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,a34675c7c2edefff45d36cdfbf7bee37e04112a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,a34675c7c2edefff45d36cdfbf7bee37e04112a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
