"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Variable Type,Change Attribute Type,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Attribute,Move Attribute,Extract And Move Method,Extract Class,Extract Variable,Inline Variable,Replace Variable With Attribute,Move Class,Change Parameter Type,Change Package,Move Source Folder,Move Method,Extract Subclass,Push Down Method,Inline Method,sum,delta
"(org.apache.bcel.BCELBenchmark.baseline,6faa7858155e8311890f14e486f43d5f8cd69835)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,6faa7858155e8311890f14e486f43d5f8cd69835)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,3513fe3566dd9ae7792f21581f6f94eb5c02adcb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.apache.bcel.BCELBenchmark.baseline,3513fe3566dd9ae7792f21581f6f94eb5c02adcb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,3513fe3566dd9ae7792f21581f6f94eb5c02adcb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,87ffca22115ae701191ef763c95cfad0f632da50)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,87ffca22115ae701191ef763c95cfad0f632da50)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,87ffca22115ae701191ef763c95cfad0f632da50)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,9a09f41b03df238043e0eda59d5cfa11cdd36523)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,9a09f41b03df238043e0eda59d5cfa11cdd36523)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,9a09f41b03df238043e0eda59d5cfa11cdd36523)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
