"(Benchmark_method, commit)",Change Return Type,Extract And Move Method,Extract Method,Inline Method,Change Attribute Type,Move Method,Change Package,Move Class,Extract Attribute,Change Parameter Type,Change Variable Type,Extract Class,Inline Variable,Extract Variable,Move Attribute,Merge Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Move Source Folder,Replace Variable With Attribute,sum,delta
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,030fb8e37c4024b24fac2b5404300449a6741699)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,030fb8e37c4024b24fac2b5404300449a6741699)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,030fb8e37c4024b24fac2b5404300449a6741699)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,030fb8e37c4024b24fac2b5404300449a6741699)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,788f2aaa7aff361416e11fba5df7cfc31060cbb1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,788f2aaa7aff361416e11fba5df7cfc31060cbb1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,788f2aaa7aff361416e11fba5df7cfc31060cbb1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,788f2aaa7aff361416e11fba5df7cfc31060cbb1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,788f2aaa7aff361416e11fba5df7cfc31060cbb1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,788f2aaa7aff361416e11fba5df7cfc31060cbb1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,788f2aaa7aff361416e11fba5df7cfc31060cbb1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,788f2aaa7aff361416e11fba5df7cfc31060cbb1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
