"(Benchmark_method, commit)",Add Parameter,Add Attribute Annotation,Remove Attribute Annotation,Extract Variable,Change Variable Type,Change Attribute Type,Inline Method,Remove Parameter,Move Class,Extract Method,Extract And Move Method,Change Parameter Type,Change Return Type,Add Method Annotation,Extract Class,Move Attribute,Parameterize Variable,Move Method,Replace Variable With Attribute,Modify Method Annotation,Remove Method Annotation,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Extract Superclass,Extract Interface,Split Attribute,Inline Variable,Remove Class Annotation,Add Class Annotation,Extract Attribute,Pull Up Attribute,Pull Up Method,Split Parameter,Merge Attribute,Change Package,Reorder Parameter,Merge Variable,Add Parameter Annotation,Remove Parameter Annotation,Modify Attribute Annotation,sum,delta
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.curl,b11798fdc5402356c72e56e39a7f742915b19d51)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.PearlDiverBenchmark.search,b11798fdc5402356c72e56e39a7f742915b19d51)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.pairCurl,b11798fdc5402356c72e56e39a7f742915b19d51)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.persistOneByOne,b11798fdc5402356c72e56e39a7f742915b19d51)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,b11798fdc5402356c72e56e39a7f742915b19d51)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,5b60409dc236e160c610bf771ca44a64a767aff3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,5b60409dc236e160c610bf771ca44a64a767aff3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.fetchOneByOne,5b60409dc236e160c610bf771ca44a64a767aff3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.curl,5b60409dc236e160c610bf771ca44a64a767aff3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.PearlDiverBenchmark.search,5b60409dc236e160c610bf771ca44a64a767aff3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.pairCurl,5b60409dc236e160c610bf771ca44a64a767aff3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.persistOneByOne,5b60409dc236e160c610bf771ca44a64a767aff3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
