"(Benchmark_method, commit)",Change Return Type,Change Parameter Type,Push Down Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Method,Extract Variable,Inline Variable,Change Attribute Type,Extract Class,Move Method,Change Variable Type,Extract And Move Method,Move Class,Extract Interface,Move Attribute,Inline Method,Change Package,Parameterize Variable,Move Source Folder,Extract Attribute,Push Down Attribute,Extract Subclass,Replace Variable With Attribute,Merge Parameter,sum,delta
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgs,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgsBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgs,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgsBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.QueueThroughputBaseline.tpt,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.channels.SpscChannelThroughputTest.busy,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.latency.spsc.RingBurstRoundTripWithGroups.ring,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgsBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.IntrusiveQueueThroughputBackoffNone.tpt,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.QueueThroughputBackoffNano.tpt,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.QueueThroughputBackoffYield.tpt,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.maps.nhbm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArgBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgs,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.collections.SetOps.remove,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.baseline.SingleThreadedPoll.poll,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
