"(Benchmark_method, commit)",Extract Variable,Change Variable Type,Move Method,Merge Parameter,Extract Superclass,Pull Up Method,Extract Method,Pull Up Attribute,Change Parameter Type,Move Attribute,Change Return Type,Change Attribute Type,Extract Attribute,Merge Attribute,Inline Variable,Extract And Move Method,Extract Class,Replace Variable With Attribute,Inline Method,Parameterize Variable,Merge Variable,Move Class,Split Attribute,Extract Interface,Extract Subclass,Push Down Method,Push Down Attribute,Move Source Folder,Split Variable,Split Parameter,Replace Attribute,Change Package,sum,delta
"(io.netty.microbenchmark.common.IsValidIpV6Benchmark.isValidIpV6AddressOld,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.SwappedByteBufBenchmark.unsafeSwappedByteBufSetShort,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.HeadersBenchmark.httpIterate,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufBenchmark.setByteBufDirectPooled,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.HeadersBenchmark.http2Iterate,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.IntObjectHashMapBenchmark.lookup,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.ReadOnlyHttp2HeadersBenchmark.readOnlyClientHeaders,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.handler.ssl.SslEngineEchoBenchmark.wrapUnwrap,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufAllocatorBenchmark.pooledDirectAllocAndFree,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufAllocatorBenchmark.pooledHeapAllocAndFree,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.AsciiStringBenchmark.hashCodeBenchBytesNew,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.PooledByteBufAllocatorAlignBenchmark.writeRead,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufBenchmark.setByteBufferHeap,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.internal.PrivilegedSocketOperationsBenchmark.testWithoutSM,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.AsciiStringBenchmark.hashCodeBenchCharSequenceNew,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.HeapByteBufBenchmark.getIntUnsafe,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.UnsafeByteBufBenchmark.setGetLongByteBuffer,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.HeadersBenchmark.httpAddAllFast,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.http.ClientCookieDecoderBenchmark.decodeCookieWithRfc1123ExpiresField,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.IntObjectHashMapBenchmark.put,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.DateFormatterBenchmark.formatHttpHeaderDateFormatter,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.CodecOutputListBenchmark.arrayList,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.HttpMethodMapBenchmark.oldMapUnknownMethods,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
