"(Benchmark_method, commit)",Change Return Type,Extract Class,Move Attribute,Move Method,Extract Method,Change Attribute Type,Change Parameter Type,Move Class,Extract Superclass,Pull Up Attribute,Extract Variable,Change Variable Type,Extract And Move Method,Move Source Folder,Inline Variable,Merge Parameter,Extract Subclass,Push Down Method,Pull Up Method,Parameterize Variable,Push Down Attribute,Inline Method,Merge Variable,Extract Attribute,Change Package,Merge Attribute,Extract Interface,Replace Variable With Attribute,Split Parameter,Split Attribute,Split Variable,Replace Attribute,sum,delta
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0683a566c1c458e4c972443c43178eb188eb510b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,4edf82dc552f84a49ce4791f0e51c501e0ed3b2b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,67db3f1afa4056650d9b2013fbb77a83609e92bc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,53bf3f97b3784b31de296d5bb3f1ac8d0d4dbff8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,f993134cb00def02be8bbd3a8700fcc874844671)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,09770c0c92767041f19c4cc202a98ebb12160cd5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,ce463bb11390be6cc3b6ad916480ee0bafb011f9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,80dc207a6c5a40b77adfa32f9920bc127650e3f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,ee23bbb94ac97b10ab27b1a18113233e74c9d5ca)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,1301d0482f8201f93282745137aac6e2384b2a2f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
