"(Benchmark_method, commit)",Move Class,Change Attribute Type,Change Parameter Type,Inline Variable,Change Return Type,Change Variable Type,Extract Superclass,Move Source Folder,Extract Method,Pull Up Attribute,Pull Up Method,Extract Attribute,Extract And Move Method,Move Method,Parameterize Variable,Extract Variable,Change Package,Replace Variable With Attribute,Inline Method,Move Attribute,Merge Variable,Merge Parameter,Extract Class,Split Attribute,Extract Interface,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,sum,delta
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,80afd4975a60b8cff0e4c6d7c8255c015d4564ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,910d00f6a2bc45e9ed5e10d939b98b4b6281fe4b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,c8c6360095a22ccdf92a68db166fd259c47c2e72)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,532c17f8aa62fb79bdeb6d79e72060a33ec531c0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,532c17f8aa62fb79bdeb6d79e72060a33ec531c0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,eb27cc5c549540493803717155915197c374ade9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,5810014fda7d25078528e789e98e43643572e85e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,5810014fda7d25078528e789e98e43643572e85e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,7150e387c78244887a329fde7a132c48af1e1538)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,7150e387c78244887a329fde7a132c48af1e1538)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,2f92553d8f67d8dbf947fa0277a14c5dd5df05d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,41ba7128e33bd55dbcf453f8a8ae06ed4794e2a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,41ba7128e33bd55dbcf453f8a8ae06ed4794e2a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,aa1272cc219e7789681ba963469be52f9efa1f24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,aa1272cc219e7789681ba963469be52f9efa1f24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,bd4f3d60faad3af245d7ce307fd581611093a4e3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,bd4f3d60faad3af245d7ce307fd581611093a4e3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
