"(Benchmark_method, commit)",Extract Method,Change Attribute Type,Inline Method,Extract Variable,Inline Variable,Change Return Type,Change Variable Type,Change Parameter Type,Move Method,Replace Variable With Attribute,Parameterize Variable,Replace Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract And Move Method,Move Class,Move Attribute,Extract Subclass,Extract Class,Push Down Method,Push Down Attribute,Move Source Folder,Extract Interface,Change Package,Merge Attribute,Extract Attribute,Merge Variable,Merge Parameter,Split Attribute,sum,delta
"(io.reactivex.rxjava3.core.BinaryFlatMapPerf.singleFlattenAsPublisher,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.ToFlowablePerf.observableInner,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.OperatorMergePerf.mergeNAsyncStreamsOfN,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapCompletable0,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableSwitchMapCompletablePerf.flowablePlain,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapCompletablePerf.flowableConvert,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapCompletableAsFlow0,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableConcatMapMaybePerf.observableConvert,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.observeOnCompletable,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.BinaryFlatMapPerf.completableFlattenAsObservable,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
