"(Benchmark_method, commit)",Extract Variable,Extract Class,Move Method,Extract And Move Method,Extract Superclass,Move Class,Change Attribute Type,Change Parameter Type,Change Variable Type,Change Return Type,Replace Variable With Attribute,Merge Parameter,Pull Up Attribute,Pull Up Method,Move Source Folder,Move Attribute,Extract Method,Push Down Method,sum,delta
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,037d3317ab3c69d4379fca06eba898a2a088faf6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,037d3317ab3c69d4379fca06eba898a2a088faf6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,037d3317ab3c69d4379fca06eba898a2a088faf6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,037d3317ab3c69d4379fca06eba898a2a088faf6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,037d3317ab3c69d4379fca06eba898a2a088faf6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,037d3317ab3c69d4379fca06eba898a2a088faf6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
